Empid,Empname,Emploc
45,rajiv,jangoan
459,raghu,jangoan
454,Sanjiv,Hyderabad
455,Shekar,jangoan
456,Sau,Hyderabad
456,Sau,Hyderabad
456,Sau,Hyderabad
456,Sau,Hyderabad
456,Sau,Hyderabad
456,Sau,Hyderabad
456,Sau,Hyderabad
456,Sau,Hyderabad
456,Sau,Hyderabad
456,Sau,Hyderabad
456,Sau,Hyderabad
456,Sau,Hyderabad
456,Sau,Hyderabad
456,Sau,Hyderabad
456,Sau,Hyderabad
456,Sau,Hyderabad
456,Sau,Hyderabad
456,Sau,Hyderabad
456,Sau,Hyderabad
456,Sau,Hyderabad
456,Sau,Hyderabad
456,Sau,Hyderabad
456,Sau,Hyderabad
456,Sau,Hyderabad
454,Sanjiv,Hyderabad
454,Sanjiv,Hyderabad
454,Sanjiv,Hyderabad
454,Sanjiv,Hyderabad
454,Sanjiv,Hyderabad
454,Sanjiv,Hyderabad
454,Sanjiv,Hyderabad
